id,title,short_title,api_uri,first_name,middle_name,last_name,suffix,date_of_birth,gender,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,fec_candidate_id,url,rss_url,contact_form,in_office,cook_pvi,dw_nominate,ideal_point,seniority,next_election,total_votes,missed_votes,total_present,last_updated,ocd_id,office,phone,fax,state,district,at_large,geoid,missed_votes_pct,votes_with_party_pct,votes_against_party_pct
A000375,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000375.json,Jodey,,Arrington,,3/9/72,M,R,,RepArrington,JodeyArrington,,412726,1016482,155685,21700,N00038285,/m/0g9_f_1,H6TX19099,https://arrington.house.gov,https://arrington.house.gov/feed/,,TRUE,R+27,0.628,,4,2020,883,20,0,9/9/20 16:30,ocd-division/country:us/state:tx/cd:19,1029 Longworth House Office Building,202-225-4005,,TX,19,FALSE,4819,2.27,91.11,8.77
A000378,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000378.json,Cynthia,,Axne,,4/20/65,F,D,,RepCindyAxne,,,412772,,179226,,N00041104,/g/11fgktcgcb,H8IA03124,https://axne.house.gov,,,TRUE,R+1,,,2,2020,883,17,0,9/9/20 16:30,ocd-division/country:us/state:ia/cd:3,330 Cannon House Office Building,202-225-5476,,IA,3,FALSE,1903,1.93,93.63,6.25
B001291,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001291.json,Brian,,Babin,,3/23/48,M,R,,RepBrianBabin,RepBrianBabin,,412655,44883,360,21551,N00005736,/m/010qgj35,H6TX02079,https://babin.house.gov,,,TRUE,R+26,0.699,,6,2020,883,41,0,9/9/20 16:30,ocd-division/country:us/state:tx/cd:36,2236 Rayburn House Office Building,202-225-1555,,TX,36,FALSE,4836,4.64,91.49,8.39
B001298,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001298.json,Don,,Bacon,,8/16/63,M,R,,repdonbacon,RepDonBacon,,412713,103442,166299,21701,N00037049,/m/01311t71,H6NE02125,https://bacon.house.gov,,,TRUE,R+4,0.405,,4,2020,883,1,0,9/9/20 16:30,ocd-division/country:us/state:ne/cd:2,1024 Longworth House Office Building,202-225-4155,,NE,2,FALSE,3102,0.11,88.22,11.67
B001307,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001307.json,James,,Baird,,6/4/45,M,R,,RepJimBaird,,,412777,,86013,,N00041954,/g/11gfd5wndr,H8IN04199,https://baird.house.gov,,,TRUE,R+17,,,2,2020,883,7,0,9/9/20 16:30,ocd-division/country:us/state:in/cd:4,532 Cannon House Office Building,202-225-5037,,IN,4,FALSE,1804,0.79,96.08,3.8
B001306,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001306.json,Troy,,Balderson,,1/16/62,M,R,,RepBalderson,,,412747,,102781,,N00042194,/m/09ry4tm,H8OH12180,https://balderson.house.gov,,,TRUE,R+7,,,4,2020,883,1,0,9/9/20 16:30,ocd-division/country:us/state:oh/cd:12,1221 Longworth House Office Building,202-225-5355,,OH,12,FALSE,3912,0.11,96.45,3.43
B001299,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001299.json,Jim,,Banks,,7/16/79,M,R,,RepJimBanks,RepJimBanks,,412702,89806,116801,21702,N00037185,/m/0j621nj,H6IN03229,https://banks.house.gov,,,TRUE,R+18,0.634,,4,2020,883,3,0,9/9/20 16:30,ocd-division/country:us/state:in/cd:3,1713 Longworth House Office Building,202-225-4436,,IN,3,FALSE,1803,0.34,93.69,6.19
B001282,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001282.json,Andy,,Barr,,7/24/73,M,R,,RepAndyBarr,RepAndyBarr,RepAndyBarr,412541,61848,117290,21333,N00031233,/m/0ddc6r6,H0KY06104,https://barr.house.gov,,,TRUE,R+9,0.492,,8,2020,883,19,0,9/9/20 16:30,ocd-division/country:us/state:ky/cd:6,2430 Rayburn House Office Building,202-225-4706,,KY,6,FALSE,2106,2.15,94.86,5.02
B001300,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001300.json,Nanette,,Barragán,,9/15/76,F,D,,RepBarragan,CongresswomanBarragan,,412687,104730,166270,21703,N00037019,/g/11bx55ybbz,H6CA44103,https://barragan.house.gov,https://barragan.house.gov/feed/,,TRUE,D+35,-0.513,,4,2020,883,16,0,9/9/20 16:30,ocd-division/country:us/state:ca/cd:44,1030 Longworth House Office Building,202-225-8220,,CA,44,FALSE,0644,1.81,98.27,1.62
B001270,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001270.json,Karen,,Bass,,10/3/53,F,D,,RepKarenBass,RepKarenBass,RepKarenBass,412404,62502,28963,21110,N00031877,/m/027g9m6,H0CA33117,https://bass.house.gov,https://bass.house.gov/rss.xml,,TRUE,D+37,-0.585,,10,2020,883,50,1,9/9/20 16:30,ocd-division/country:us/state:ca/cd:37,2059 Rayburn House Office Building,202-225-7084,,CA,37,FALSE,0637,5.66,98.07,1.81
B001281,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001281.json,Joyce,,Beatty,,3/12/50,F,D,,RepBeatty,RepJoyceBeatty,,412565,67294,2427,21352,N00033904,/m/03lcwb,H2OH03125,https://beatty.house.gov,https://beatty.house.gov/rss.xml,,TRUE,D+19,-0.43,,8,2020,883,41,0,9/9/20 16:30,ocd-division/country:us/state:oh/cd:3,2303 Rayburn House Office Building,202-225-4324,,OH,3,FALSE,3903,4.64,99.17,0.71
B001287,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001287.json,Ami,,Bera,,3/2/65,M,D,,RepBera,RepAmiBera,repamibera,412512,1033636,120030,21304,N00030717,/m/0dgqnts,H0CA03078,https://bera.house.gov,https://bera.house.gov/rss.xml,,TRUE,D+3,-0.232,,8,2020,883,3,0,9/9/20 16:30,ocd-division/country:us/state:ca/cd:7,1727 Longworth House Office Building,202-225-5716,,CA,7,FALSE,0607,0.34,98.06,1.82
B001301,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001301.json,Jack,,Bergman,,2/2/47,M,R,,RepJackBergman,RepJackBergman,RepJackBergman,412709,1020529,170172,21704,N00039533,/m/05b2l3v,H6MI01226,https://bergman.house.gov,,,TRUE,R+9,0.427,,4,2020,883,16,0,9/9/20 16:30,ocd-division/country:us/state:mi/cd:1,414 Cannon House Office Building,202-225-4735,,MI,1,FALSE,2601,1.81,93.02,6.87
B001292,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001292.json,Donald,,Beyer,,6/20/50,M,D,,RepDonBeyer,RepDonBeyer,,412657,21141,1707,21554,N00036018,/m/053g16,H4VA08224,https://beyer.house.gov,,,TRUE,R+6,-0.385,,6,2020,883,26,0,9/9/20 16:30,ocd-division/country:us/state:va/cd:8,1119 Longworth House Office Building,202-225-4376,,VA,8,FALSE,5108,2.94,98.95,0.94
B001302,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001302.json,Andy,,Biggs,,11/7/58,M,R,,RepAndyBiggsAZ,RepAndyBiggs,,412683,105145,28088,21705,N00039293,/m/0_1m23v,H6AZ05083,https://biggs.house.gov,https://biggs.house.gov/rss.xml,,TRUE,R+15,0.882,,4,2020,883,19,0,9/9/20 16:30,ocd-division/country:us/state:az/cd:5,1318 Longworth House Office Building,202-225-2635,,AZ,5,FALSE,0405,2.15,80.37,19.51
B001257,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001257.json,Gus,,Bilirakis,,2/8/63,M,R,,RepGusBilirakis,GusBilirakis,RepGusBilirakis,412250,1022873,17318,20758,N00027462,/m/0dy3z1,H6FL09070,https://bilirakis.house.gov,https://bilirakis.house.gov/rss.xml,,TRUE,R+8,0.405,,16,2020,883,30,0,9/9/20 16:30,ocd-division/country:us/state:fl/cd:12,2227 Rayburn House Office Building,202-225-5755,,FL,12,FALSE,1212,3.4,92.8,7.08
B001250,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001250.json,Rob,,Bishop,,7/13/51,M,R,,RepRobBishop,RepRobBishop,CongressmanBishop,400029,1003621,50544,20357,N00025292,/m/02tn41,H2UT01094,https://robbishop.house.gov,https://robbishop.house.gov/rss.xml,,TRUE,R+26,0.536,,18,2020,883,59,0,9/9/20 16:30,ocd-division/country:us/state:ut/cd:1,123 Cannon House Office Building,202-225-0453,,UT,1,FALSE,4901,6.68,92.3,7.58
B001311,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001311.json,Dan,,Bishop,,7/1/64,M,R,,RepDanBishop,,,412844,,,,N00044335,/m/013bg9xz,H0NC09187,https://danbishop.house.gov/,,https://danbishop.house.gov/contact/email,TRUE,R+8,,,2,2020,352,34,0,9/9/20 16:30,ocd-division/country:us/state:nc/cd:9,132 Cannon House Office Building,202-225-1976,,NC,9,FALSE,3709,9.66,94.27,5.73
B000490,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000490.json,Sanford,D.,Bishop,Jr.,2/4/47,M,D,,SanfordBishop,sanfordbishop,RepSanfordBishop,400030,26194,26817,29339,N00002674,/m/02554k,H2GA02031,https://bishop.house.gov,https://bishop.house.gov/rss.xml,,TRUE,D+6,-0.282,,28,2020,883,28,0,9/9/20 16:30,ocd-division/country:us/state:ga/cd:2,2407 Rayburn House Office Building,202-225-3631,,GA,2,FALSE,1302,3.17,98.48,1.41
B000574,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000574.json,Earl,,Blumenauer,,8/16/48,M,D,,BlumenauerMedia,,RepBlumenauer,400033,43809,367,29588,N00007727,/m/033tw8,H6OR03064,https://blumenauer.house.gov,https://blumenauer.house.gov/rss.xml,,TRUE,D+24,-0.427,,26,2020,883,11,0,9/9/20 16:30,ocd-division/country:us/state:or/cd:3,1111 Longworth House Office Building,202-225-4811,,OR,3,FALSE,4103,1.25,97.47,2.41
B001303,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001303.json,Lisa,,Blunt Rochester,,2/10/62,F,D,,RepLBR,Rep.BluntRochester,,412689,104772,173249,21706,N00038414,/g/11c328y56v,H6DE00206,https://bluntrochester.house.gov,,,TRUE,D+6,-0.331,,4,2020,883,5,0,9/9/20 16:30,ocd-division/country:us/state:de/cd:1,1519 Longworth House Office Building,202-225-4165,,DE,At-Large,TRUE,1000,0.57,99.43,0.46
B001278,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001278.json,Suzanne,,Bonamici,,10/14/54,F,D,,RepBonamici,congresswomanbonamici,RepSuzanneBonamici,412501,63966,59641,21198,N00033474,/m/02q453x,H2OR01133,https://bonamici.house.gov,https://bonamici.house.gov/rss.xml,,TRUE,D+9,-0.394,,10,2020,883,4,0,9/9/20 16:30,ocd-division/country:us/state:or/cd:1,2231 Rayburn House Office Building,202-225-0855,,OR,1,FALSE,4101,0.45,98.4,1.48
B001295,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001295.json,Mike,,Bost,,12/30/60,M,R,,RepBost,RepBost,,412629,76176,6302,21519,N00035420,/m/0kry42,H4IL12060,https://bost.house.gov,https://bost.house.gov/rss.xml,,TRUE,R+5,0.273,,6,2020,883,92,0,9/9/20 16:30,ocd-division/country:us/state:il/cd:12,1440 Longworth House Office Building,202-225-5661,,IL,12,FALSE,1712,10.42,92.35,7.53
B001296,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001296.json,Brendan,,Boyle,,2/6/77,M,D,,CongBoyle,CongressmanBoyle,,412652,76428,47357,21548,N00035307,/m/04f4fjk,H4PA13199,https://boyle.house.gov,https://boyle.house.gov/rss.xml,,TRUE,D+25,-0.398,,6,2020,883,14,0,9/9/20 16:30,ocd-division/country:us/state:pa/cd:2,1133 Longworth House Office Building,202-225-6111,,PA,2,FALSE,4202,1.59,98.62,1.27
B000755,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000755.json,Kevin,,Brady,,4/11/55,M,R,,RepKevinBrady,kevinbrady,KBrady8,400046,45749,361,29760,N00005883,/m/03tq00,H6TX08100,https://kevinbrady.house.gov,,,TRUE,R+28,0.524,,24,2020,883,53,0,9/9/20 16:30,ocd-division/country:us/state:tx/cd:8,1011 Longworth House Office Building,202-225-4901,,TX,8,FALSE,4808,6,94.16,5.72
B001308,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001308.json,Anthony,,Brindisi,,11/22/78,M,D,,RepBrindisi,,,412806,,135258,,N00041385,/m/0hhqfyc,H8NY22151,https://brindisi.house.gov,,,TRUE,R+6,,,2,2020,883,3,0,9/9/20 16:30,ocd-division/country:us/state:ny/cd:22,329 Cannon House Office Building,202-225-3665,,NY,22,FALSE,3622,0.34,88.27,11.62
B001274,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001274.json,Mo,,Brooks,,4/29/54,M,R,,RepMoBrooks,RepMoBrooks,RepMoBrooks,412395,94888,121610,21193,N00030910,/m/0c3xdjf,H0AL05163,https://brooks.house.gov,https://brooks.house.gov/rss.xml,,TRUE,R+18,0.648,,10,2020,883,11,0,9/9/20 16:30,ocd-division/country:us/state:al/cd:5,2246 Rayburn House Office Building,202-225-4801,,AL,5,FALSE,0105,1.25,86.47,13.41
B001284,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001284.json,Susan,,Brooks,,8/25/60,F,R,,SusanWBrooks,congresswomansusanwbrooks,SusanWBrooks,412539,623720,135988,21331,N00033495,/m/0jt8ng2,H2IN05082,https://susanwbrooks.house.gov,https://susanwbrooks.house.gov/rss.xml,,TRUE,R+9,0.354,,8,2020,883,40,0,9/9/20 16:30,ocd-division/country:us/state:in/cd:5,2211 Rayburn House Office Building,202-225-2276,,IN,5,FALSE,1805,4.53,90.79,9.09
B001304,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001304.json,Anthony,,Brown,,11/21/61,M,D,,RepAnthonyBrown,RepAnthonyBrown,RepAnthonyBrown,412707,1029537,19344,21707,N00036999,/m/09v6fg,H6MD04209,https://anthonybrown.house.gov,,,TRUE,D+28,-0.334,,4,2020,883,9,0,9/9/20 16:30,ocd-division/country:us/state:md/cd:4,1323 Longworth House Office Building,202-225-8699,,MD,4,FALSE,2404,1.02,98.39,1.49
B001285,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001285.json,Julia,,Brownley,,8/28/52,F,D,,RepBrownley,RepJuliaBrownley,RepJuliaBrownley,412516,79783,59904,21308,N00034254,/m/027z42z,H2CA00120,https://juliabrownley.house.gov,https://juliabrownley.house.gov/category/press-releases/feed/,,TRUE,D+7,-0.286,,8,2020,883,16,0,9/9/20 16:30,ocd-division/country:us/state:ca/cd:26,2262 Rayburn House Office Building,202-225-5811,,CA,26,FALSE,0626,1.81,98.38,1.5
B001260,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001260.json,Vern,,Buchanan,,5/8/51,M,R,,VernBuchanan,CongressmanBuchanan,vernbuchanan,412196,1021626,66247,20709,N00027626,/m/0gtjsp,H6FL13148,https://buchanan.house.gov,https://buchanan.house.gov/rss.xml,,TRUE,R+7,0.359,,14,2020,883,42,0,9/9/20 16:30,ocd-division/country:us/state:fl/cd:16,2427 Rayburn House Office Building,202-225-5015,,FL,16,FALSE,1216,4.76,89.94,9.94
B001297,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001297.json,Ken,,Buck,,2/16/59,M,R,,RepKenBuck,repkenbuck,,412619,78285,125319,21510,N00030829,/m/05zzjd2,S0CO00237,https://buck.house.gov,https://buck.house.gov/rss.xml,,TRUE,R+13,0.756,,6,2020,883,108,0,9/9/20 16:30,ocd-division/country:us/state:co/cd:4,2455 Rayburn House Office Building,202-225-4676,,CO,4,FALSE,0804,12.23,89.6,10.27
B001275,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001275.json,Larry,,Bucshon,,5/31/62,M,R,,RepLarryBucshon,RepLarryBucshon,RepLarryBucshon,412427,61837,120335,21132,N00031227,/m/0dd9k_y,H0IN08114,https://bucshon.house.gov,,,TRUE,R+15,0.404,,10,2020,883,27,0,9/9/20 16:30,ocd-division/country:us/state:in/cd:8,2313 Rayburn House Office Building,202-225-4636,,IN,8,FALSE,1808,3.06,95.99,3.89
B001305,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001305.json,Ted,,Budd,,10/21/71,M,R,,RepTedBudd,RepTedBudd,,412712,103513,171489,21708,N00039551,/g/11c2nmnsj0,H6NC13129,https://budd.house.gov,,,TRUE,R+6,0.667,,4,2020,883,16,0,9/9/20 16:30,ocd-division/country:us/state:nc/cd:13,118 Cannon House Office Building,202-225-4531,,NC,13,FALSE,3713,1.81,91.5,8.38
B001309,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001309.json,Tim,,Burchett,,8/25/64,M,R,,RepTimBurchett,,,412817,,24379,,N00041594,/m/03yt07,H8TN02119,https://burchett.house.gov,,,TRUE,R+20,,,2,2020,883,12,0,9/9/20 16:30,ocd-division/country:us/state:tn/cd:2,1122 Longworth House Office Building,202-225-5435,,TN,2,FALSE,4702,1.36,88.53,11.36
B001248,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001248.json,Michael,C.,Burgess,,12/23/50,M,R,,MichaelCBurgess,michaelcburgess,michaelcburgessmd,400052,1003620,50120,20355,N00025219,/m/03tq8_,H2TX26093,https://burgess.house.gov,https://burgess.house.gov/news/rss.aspx,,TRUE,R+18,0.576,,18,2020,883,15,0,9/9/20 16:30,ocd-division/country:us/state:tx/cd:26,2161 Rayburn House Office Building,202-225-7772,,TX,26,FALSE,4826,1.7,92.57,7.32
B001286,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001286.json,Cheri,,Bustos,,10/17/61,F,D,,RepCheri,RepCheri,RepCheri,412537,63949,134964,21329,N00033390,/m/0jwwtrm,H2IL17071,https://bustos.house.gov,https://bustos.house.gov/category/press-release/feed/,,TRUE,D+3,-0.238,,8,2020,883,1,0,9/9/20 16:30,ocd-division/country:us/state:il/cd:17,1233 Longworth House Office Building,202-225-5905,,IL,17,FALSE,1717,0.11,98.52,1.36
B001251,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001251.json,G.,K.,Butterfield,,4/27/47,M,D,,GKButterfield,congressmangkbutterfield,GKBNC01,400616,1013540,41077,20340,N00027035,/m/03g_pq,H4NC01046,https://butterfield.house.gov,https://butterfield.house.gov/rss.xml,,TRUE,D+17,-0.404,,18,2020,883,23,0,9/9/20 16:30,ocd-division/country:us/state:nc/cd:1,2080 Rayburn House Office Building,202-225-3101,,NC,1,FALSE,3701,2.6,98.95,0.93
B001289,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001289.json,Bradley,,Byrne,,2/16/55,M,R,,RepByrne,RepByrne,,412601,73486,27584,21376,N00035380,/m/09g6kty,H4AL01123,https://byrne.house.gov,https://byrne.house.gov/rss.xml,,TRUE,R+15,0.612,,8,2020,883,117,0,9/9/20 16:30,ocd-division/country:us/state:al/cd:1,119 Cannon House Office Building,202-225-4931,,AL,1,FALSE,0101,13.25,92.37,7.5
C000059,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000059.json,Ken,,Calvert,,6/8/53,M,R,,KenCalvert,70063393423,RepKenCalvert,400057,26709,26777,29323,N00007099,/m/024xl1,H2CA37023,https://calvert.house.gov,https://calvert.house.gov/rss.xml,,TRUE,R+9,0.349,,28,2020,883,7,0,9/9/20 16:30,ocd-division/country:us/state:ca/cd:42,2205 Rayburn House Office Building,202-225-1986,,CA,42,FALSE,0642,0.79,93.56,6.33
C001112,Representative,Rep.,https://api.propublica.org/congress/v1/members/C001112.json,Salud,,Carbajal,,11/18/64,M,D,,RepCarbajal,repsaludcarbajal,repcarbajal,412686,104728,81569,21709,N00037015,/g/11c2q53dct,H6CA24303,https://carbajal.house.gov,,,TRUE,D+7,-0.301,,4,2020,883,2,0,9/9/20 16:30,ocd-division/country:us/state:ca/cd:24,1431 Longworth House Office Building,202-225-3601,,CA,24,FALSE,0624,0.23,99.54,0.34
C001097,Representative,Rep.,https://api.propublica.org/congress/v1/members/C001097.json,Tony,,Cárdenas,,3/31/63,M,D,,RepCardenas,repcardenas,repcardenas,412517,63934,9754,21309,N00033373,/m/0cgzsw,H2CA28113,https://cardenas.house.gov,https://cardenas.house.gov/rss.xml,,TRUE,D+29,-0.382,,8,2020,883,38,0,9/9/20 16:30,ocd-division/country:us/state:ca/cd:29,2438 Rayburn House Office Building,202-225-6131,,CA,29,FALSE,0629,4.3,98.1,1.78
C001072,Representative,Rep.,https://api.propublica.org/congress/v1/members/C001072.json,André,,Carson,,10/16/74,M,D,,RepAndreCarson,CongressmanAndreCarson,repandrecarson,412258,1027364,84917,20757,N00029513,/m/03qcvz1,H8IN07184,https://carson.house.gov,https://carson.house.gov/rss.xml,,TRUE,D+11,-0.431,,14,2020,883,7,0,9/9/20 16:30,ocd-division/country:us/state:in/cd:7,2135 Rayburn House Office Building,202-225-4011,,IN,7,FALSE,1807,0.79,98.51,1.37
C001051,Representative,Rep.,https://api.propublica.org/congress/v1/members/C001051.json,John,,Carter,,11/6/41,M,R,,JudgeCarter,judgecarter,repjohncarter,400068,1004257,49296,20356,N00025095,/m/03whyr,H2TX31044,https://carter.house.gov,https://carter.house.gov/common/rss/?rss=40,,TRUE,R+10,0.471,,18,2020,883,80,0,9/9/20 16:30,ocd-division/country:us/state:tx/cd:31,2110 Rayburn House Office Building,202-225-3864,,TX,31,FALSE,4831,9.06,92.71,7.16
C001103,Representative,Rep.,https://api.propublica.org/congress/v1/members/C001103.json,Buddy,,Carter,,9/6/57,M,R,,RepBuddyCarter,congressmanbuddycarter,,412622,76158,32085,21513,N00035346,/m/0w32xj9,H4GA01039,https://buddycarter.house.gov,,,TRUE,R+9,0.582,,6,2020,883,5,0,9/9/20 16:30,ocd-division/country:us/state:ga/cd:1,2432 Rayburn House Office Building,202-225-5831,,GA,1,FALSE,1301,0.57,94.83,5.05
C001090,Representative,Rep.,https://api.propublica.org/congress/v1/members/C001090.json,Matt,,Cartwright,,5/1/61,M,D,,RepCartwright,CongressmanMattCartwright,,412571,79865,136236,21358,N00034128,/m/0j_6b9d,H2PA17079,https://cartwright.house.gov,https://cartwright.house.gov/rss.xml,,TRUE,R+1,-0.369,,8,2020,883,38,0,9/9/20 16:30,ocd-division/country:us/state:pa/cd:8,1034 Longworth House Office Building,202-225-5546,,PA,8,FALSE,4208,4.3,99.17,0.71
C001055,Representative,Rep.,https://api.propublica.org/congress/v1/members/C001055.json,Ed,,Case,,9/27/52,M,D,,RepEdCase,,,400069,,,20322,N00025882,,H2HI02128,https://case.house.gov,,,TRUE,D+17,-0.2,,2,2020,883,4,0,9/9/20 16:30,ocd-division/country:us/state:hi/cd:1,2443 Rayburn House Office Building,202-225-2726,,HI,1,FALSE,1501,0.45,97.95,1.94
